O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KANAN BALA MONDAL,Bahujan Samaj Party,1427,5,1432,0.63
2,Ganesh Chandra Mondal,All India Trinamool Congress,116581,657,117238,51.57
3,Mintu Halder,Bharatiya Janata Party,69719,342,70061,30.82
4,Ram Sankar Halder,Communist Party of India (Marxist),19926,84,20010,8.8
5,Kartick Mondal,Bahujan Mukti Party,454,4,458,0.2
6,JAYKRISHNA HALDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),15209,97,15306,6.73
7,Bablu Sanfui,Lok Jan Shakti Party,345,1,346,0.15
8,Gobinda Majhi,Independent,447,3,450,0.2
9,Ratan Kumar Naskar,Independent,999,3,1002,0.44
10,NOTA,None of the Above,1045,3,1048,0.46
