O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BIRBAHA HANSDA,All India Trinamool Congress,108044,1449,109493,54.26
2,MADHUJA SEN ROY,Communist Party of India (Marxist),10179,251,10430,5.17
3,RAMKRISHNA SARKAR,Bahujan Samaj Party,1786,16,1802,0.89
4,SUKHAMAY SATPATHY (JAHAR),Bharatiya Janata Party,70048,1205,71253,35.31
5,ARCHANA SAIN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1187,6,1193,0.59
6,LAXMAN HANSDA,Amra Bangalee,573,7,580,0.29
7,ASHUTOSH RANA,Independent,488,11,499,0.25
8,MADHUSUDAN SINGHA,Independent,1155,4,1159,0.57
9,SIBAJI MAHATA,Independent,786,14,800,0.4
10,HAMLET BASKEY,Independent,941,11,952,0.47
11,NOTA,None of the Above,3615,21,3636,1.8
