O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NILADRI SEKHAR DANA,Bharatiya Janata Party,94470,996,95466,43.79
2,RADHARANI BANERJEE,Indian National Congress,13542,222,13764,6.31
3,SADHAN CHATTARAJ,Bahujan Samaj Party,1305,9,1314,0.6
4,SAYANTIKA BANERJEE,All India Trinamool Congress,93093,905,93998,43.12
5,LINA GHOSH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1699,21,1720,0.79
6,HULU KSHETRAPAL,Bahujan Mukti Party,501,8,509,0.23
7,BAIDYANATH KISKU,Independent,495,8,503,0.23
8,SK. HASIMUDDIN,Independent,884,4,888,0.41
9,SWADESH MANDAL,Independent,3280,23,3303,1.52
10,SWAPAN KUMAR DAS,Independent,1031,12,1043,0.48
11,HARIPADA MAHATO,Independent,970,1,971,0.45
12,NOTA,None of the Above,4491,16,4507,2.07
