O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TAPAS KUMAR YADAV(ANANDA YADAV),Bharatiya Janata Party,60076,457,60533,29.15
2,DINABANDHU MONDAL,Bahujan Samaj Party,1029,2,1031,0.5
3,DIPAK CHATTERJEE,All India Forward Bloc,21193,135,21328,10.27
4,RAJENDRA PRASAD SINGH (RAJU SINGH),All India Trinamool Congress,116667,771,117438,56.54
5,AMARJIT FULMALI,Janata Dal (United),983,1,984,0.47
6,MD. MONIBUR RAHAMAN,"Justice and Development Party,",616,1,617,0.3
7,MANIK HANSDA,Bahujan Mukti Party,1581,5,1586,0.76
8,ABDUS SALAM,Independent,446,1,447,0.22
9,MOINUDDIN SHAMS,Independent,1816,16,1832,0.88
10,NOTA,None of the Above,1891,9,1900,0.91
