O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AJMAL KHAN,Indian National Congress,4736,33,4769,4.82
2,MEENA DEVI PUROHIT,Bharatiya Janata Party,39238,142,39380,39.8
3,NIRMAL KANTI SAMADDAR,Bahujan Samaj Party,411,1,412,0.42
4,VIVEK GUPTA,All India Trinamool Congress,51904,219,52123,52.67
5,BIJNAN KUMAR BERA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),405,3,408,0.41
6,ANAND SINGH KHARWAR,Independent,96,0,96,0.1
7,ANIL KUMAR CHOUDHARY,Independent,94,1,95,0.1
8,NAWAL MONDAL,Independent,359,2,361,0.36
9,RANJIT KUMAR THAKUR,Independent,103,1,104,0.11
10,SUSHANTA GHOSH,Independent,178,1,179,0.18
11,NOTA,None of the Above,1024,4,1028,1.04
