O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. PRADIP KUMAR BARMA,All India Trinamool Congress,93648,2020,95668,42.34
2,SUKHBILAS BARMA,Indian National Congress,23173,1055,24228,10.72
3,SUBHASH KUMAR SARKAR,Bahujan Samaj Party,1590,19,1609,0.71
4,SOUJIT SINGHA (PIKU),Bharatiya Janata Party,92373,2354,94727,41.93
5,ISWAR BARAI,Amra Bangalee,999,12,1011,0.45
6,PALENDRA NATH ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),884,14,898,0.4
7,PRAHLAD ROY,Independent,725,21,746,0.33
8,RAKHI SARKAR,Independent,1537,19,1556,0.69
9,HARIDAS BISWAS,Independent,949,13,962,0.43
10,HAREKRISHNA SARKAR,Independent,1142,5,1147,0.51
11,NOTA,None of the Above,3334,47,3381,1.5
