O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Atin Ghosh,All India Trinamool Congress,75274,908,76182,56.48
2,PRATIP DASGUPTA,Communist Party of India (Marxist),14504,253,14757,10.94
3,SHIO KUMAR KHATIK,Bahujan Samaj Party,532,7,539,0.4
4,Sibaji Sinha Roy,Bharatiya Janata Party,40424,368,40792,30.24
5,KUSH MAHALI,Independent,229,5,234,0.17
6,MD SHAKIL,Independent,137,7,144,0.11
7,Rajesh Kumar Das,Independent,233,1,234,0.17
8,SHREE NARAYAN TANDON,Independent,206,1,207,0.15
9,TAPAS GHOSH,Independent,206,0,206,0.15
10,NOTA,None of the Above,1564,13,1577,1.17
