O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Asok Bhattacharya,Communist Party of India (Marxist),28269,566,28835,16.14
2,Dr. Omprakash Mishra,All India Trinamool Congress,53153,631,53784,30.11
3,Kakali Majumdar (Roy),Bahujan Samaj Party,1241,14,1255,0.7
4,Sankar Ghosh,Bharatiya Janata Party,88580,790,89370,50.03
5,Chayan Guha,Amra Bangalee,592,2,594,0.33
6,Chhotan Saha,Republican Party of India (Athawale),301,5,306,0.17
7,Dipti Roy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),368,11,379,0.21
8,Nintu Dutta,Republican Party of India (A),645,4,649,0.36
9,Bhushan Kumar Soni,Janata Dal (United),443,4,447,0.25
10,Habul Ghosh,Independent,951,6,957,0.54
11,NOTA,None of the Above,2035,39,2074,1.16
