O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ATAL KUMAR PURKAIT,Bahujan Samaj Party,772,4,776,0.37
2,ABDUR RAZZAK MOLLA,Indian National Congress,7413,39,7452,3.58
3,BIDHAN PARUI,Bharatiya Janata Party,76033,372,76405,36.75
4,SANKAR KUMAR NASKAR,All India Trinamool Congress,116077,1102,117179,56.35
5,JULFIKAR SHAIK,Independent,1177,6,1183,0.57
6,DEEPAK RAM,Independent,272,1,273,0.13
7,MILAN DHUM,Independent,364,1,365,0.18
8,M. RAQUIBUL HASAN MALLICK,Independent,1674,3,1677,0.81
9,SANTOSH SAMANTA,Independent,1019,7,1026,0.49
10,SOMNATH MONDAL,Independent,407,4,411,0.2
11,NOTA,None of the Above,1180,5,1185,0.57
