O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,YEASMIN SABINA,All India Trinamool Congress,96392,1005,97397,59.7
2,DULAL SK,Indian National Congress,16655,248,16903,10.36
3,SHYAMCHAND GHOSH,Bharatiya Janata Party,40436,388,40824,25.02
4,MST AKTARI KHATUN,Kamatapur People’s Party (United),556,0,556,0.34
5,MD. ALI KALIMULLAH (NUR HOQUE),Rashtriya Secular Majlis Party,3581,4,3585,2.2
6,MD EBRAHIM,Communist Party of India (Marxist-Leninist) (Liberation),299,1,300,0.18
7,MD FARUQUE HOSSAIN(SAHITYARATNA),Indian Union Muslim League,194,1,195,0.12
8,RAMCHANDRA CHOWDHURI,Independent,182,1,183,0.11
9,SAIDUR RAHAMAN,Independent,495,0,495,0.3
10,SUBODH SARKAR,Independent,565,1,566,0.35
11,NOTA,None of the Above,2139,0,2139,1.31
