O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABDUL KHALEQUE MOLLA,All India Trinamool Congress,150792,274,151066,76.85
2,RAMJIT PRASAD,Bharatiya Janata Party,31357,105,31462,16.0
3,SAMSAD ALAM,Bahujan Samaj Party,607,2,609,0.31
4,FIROZA KHATUN,"Justice and Development Party,",308,3,311,0.16
5,NURUZAMAN MOLLA,Rashtriya Secular Majlis Party,7362,27,7389,3.76
6,PRANATI PAUL,Amra Bangalee,825,4,829,0.42
7,SABNAM BIBI,All India Minorities Front,404,5,409,0.21
8,ANWAR RAZA,Independent,268,1,269,0.14
9,MD. IMTIYAZ ALAM,Independent,495,0,495,0.25
10,KRISHNENDU SENGUPTA,Independent,731,4,735,0.37
11,NOTA,None of the Above,3004,4,3008,1.53
