O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KHATUN MAFUJA,Bharatiya Janata Party,44692,291,44983,24.08
2,DHANANJAY BANERJEE,Bahujan Samaj Party,978,3,981,0.53
3,SUBRATA SAHA,All India Trinamool Congress,94880,309,95189,50.95
4,SK M HASANUZZAMAN (BAPPA),Indian National Congress,36055,289,36344,19.45
5,ABDUT TAWAB,SOCIAL DEMOCRATIC PARTY OF INDIA,1278,2,1280,0.69
6,NURE MAHABOOB ALAM,All India Majlis-E-Ittehadul Muslimeen,3449,1,3450,1.85
7,MIRZA LUTFUL HOQUE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),694,4,698,0.37
8,SUPAL MURMU,Bahujan Mukti Party,1654,2,1656,0.89
9,SANTA BHATTACHERJEE,Independent,527,3,530,0.28
10,NOTA,None of the Above,1705,0,1705,0.91
