O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Md. Fayaz,Bahujan Samaj Party,824,3,827,0.53
2,Priyanka Tibrewal,Bharatiya Janata Party,43248,204,43452,27.7
3,Swarna Kamal Saha,All India Trinamool Congress,101266,443,101709,64.83
4,Goutam Prasad,West Bengal Socialist Party,797,1,798,0.51
5,Md. Enayetullah Ansari,All India Minorities Front,248,1,249,0.16
6,Md. Iqbal Alam,Rashtriya Secular Majlis Party,4297,57,4354,2.78
7,Md. Nurul Huda,Janata Dal (United),135,2,137,0.09
8,Swarnalata Sarkar,Bharatiya Nyay-Adhikar Raksha Party,131,1,132,0.08
9,Arindam Roy,Independent,137,0,137,0.09
10,Ashok Das,Independent,155,1,156,0.1
11,Kundan Kumar Shaw,Independent,205,2,207,0.13
12,Md. Imran,Independent,349,1,350,0.22
13,Mousumi Roy,Independent,769,1,770,0.49
14,Prabir Dasgupta,Independent,1934,0,1934,1.23
15,Saleha Tabassum,Independent,671,0,671,0.43
16,NOTA,None of the Above,980,11,991,0.63
