O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr. Fuad Halim,Communist Party of India (Marxist),8428,46,8474,5.61
2,LOKENATH CHATTERJEE,Bharatiya Janata Party,31054,172,31226,20.68
3,Rajendra Ram Das,Bahujan Samaj Party,808,4,812,0.54
4,Subrata Mukherjee,All India Trinamool Congress,106223,362,106585,70.6
5,ANIRBAN SAHA,Purvanchal Mahapanchayat,538,3,541,0.36
6,CHHANDA SAHA,Bharatiya Nyay-Adhikar Raksha Party,576,4,580,0.38
7,SEKH SADIK HUSSAIN,United Socialist Party,116,2,118,0.08
8,AMITAVA DUTTA,Independent,194,1,195,0.13
9,KAUSHIK GHOSHAL,Independent,642,1,643,0.43
10,SANTANU SAHA,Independent,213,0,213,0.14
11,ZUBIN RASHID,Independent,258,0,258,0.17
12,NOTA,None of the Above,1314,3,1317,0.87
