O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AJAY KUMAR RAM,Bahujan Samaj Party,677,5,682,0.64
2,JITENDRA SHAW (JITU),All India Trinamool Congress,43385,172,43557,40.63
3,DHARMENDRA SHAW,Indian National Congress,2144,25,2169,2.02
4,PAWAN KUMAR SINGH,Bharatiya Janata Party,57050,194,57244,53.4
5,PARTHA BHATTACHARYYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),590,2,592,0.55
6,UDAY VEER CHOUDHURY,Independent,190,1,191,0.18
7,VINOD KISHOR VERMA,Independent,743,1,744,0.69
8,MUNEEL KUMAR RAJAK,Independent,248,0,248,0.23
9,SABARI CHOWDHURY,Independent,609,1,610,0.57
10,NOTA,None of the Above,1146,14,1160,1.08
