O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABDUR RAZZAK,All India Trinamool Congress,123096,744,123840,55.74
2,CHANDAN MANDAL,Bharatiya Janata Party,43395,378,43773,19.7
3,SAIFUL ISLAM MOLLA,Communist Party of India (Marxist),44224,340,44564,20.06
4,ALSOKUAT JAMAN,All India Majlis-E-Ittehadul Muslimeen,1327,11,1338,0.6
5,ENAMUL HAQUE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),261,3,264,0.12
6,MD. ABDUL HAMID,Bahujan Mukti Party,277,0,277,0.12
7,SARIFUL MANDAL,"Justice and Development Party,",253,1,254,0.11
8,SUBIR KUMAR SARKAR,Amra Bangalee,381,7,388,0.17
9,NABENDU KUMAR MONDAL,Independent,726,3,729,0.33
10,RAFIKA SULTANA,Independent,4172,17,4189,1.89
11,NOTA,None of the Above,2540,11,2551,1.15
