O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANANDI TUDU,Bahujan Samaj Party,1410,6,1416,0.72
2,UTTAM KUMAR BANDYOPADHYAY,Indian National Congress,8842,53,8895,4.49
3,BANESWAR MAHATO,Bharatiya Janata Party,88803,718,89521,45.22
4,SHANTIRAM MAHATO,All India Trinamool Congress,88530,568,89098,45.01
5,DIPAK KUMAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1791,2,1793,0.91
6,SITARAM HANSDA,Ambedkarite Party of India,2150,3,2153,1.09
7,SUBHASH MAHATO,Bharateeya Manavadhikar party,1167,3,1170,0.59
8,ASWINI SINGH SARDAR,Independent,1467,11,1478,0.75
9,NOTA,None of the Above,2432,9,2441,1.23
