O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABDUL SOUMIK HOSSAIN,All India Trinamool Congress,134346,611,134957,60.79
2,FIROZA BEGAM,Indian National Congress,54918,337,55255,24.89
3,MST MASUARA KHATUN,Bharatiya Janata Party,21010,128,21138,9.52
4,RULIYA PARVIN,Bahujan Samaj Party,584,3,587,0.26
5,ABDUL HAI,Bahujan Maha Party,246,1,247,0.11
6,GOLAM MASUM REJA,Rashtriya Secular Majlis Party,2752,2,2754,1.24
7,NASRIN NAHER LUCY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),497,4,501,0.23
8,MD SAHER ALAM,SOCIAL DEMOCRATIC PARTY OF INDIA,1385,8,1393,0.63
9,SAIRA BIBI,United Socialist Party,198,4,202,0.09
10,FIROZA BIBI,Independent,882,2,884,0.4
11,SAFIUR RAHAMAN MANDAL,Independent,496,0,496,0.22
12,HASIBUL ISLAM,Independent,827,1,828,0.37
13,NOTA,None of the Above,2769,5,2774,1.25
