O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GIAS UDDIN MOLLA,All India Trinamool Congress,95974,1032,97006,49.93
2,DHURJATI SAHA (MANAS),Bharatiya Janata Party,49696,369,50065,25.77
3,AHAMMAD SARDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),614,1,615,0.32
4,MAIDUL ISLAM MOLLA,Rashtriya Secular Majlis Party,40526,159,40685,20.94
5,HARAN BISWAS,Party for Democratic Socialism,511,1,512,0.26
6,PALASH HALDER,Independent,206,3,209,0.11
7,HAJI MURSID UDDIN SEKH,Independent,528,10,538,0.28
8,SAMBHU NATH KANJI,Independent,837,2,839,0.43
9,SAMSUL HUDA LASKAR,Independent,606,1,607,0.31
10,HABUL KUMAR MANDAL,Independent,914,6,920,0.47
11,NOTA,None of the Above,2280,6,2286,1.18
