O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABHISEK BANERJEE,Indian National Congress,12664,157,12821,7.91
2,SABYA SACHI DUTTA S/O - LATE GOURI SANKAR DUTTA,Bharatiya Janata Party,67548,367,67915,41.91
3,SMRITI KANA HOWLADER,Bahujan Samaj Party,604,7,611,0.38
4,SUJIT BOSE S/O - LATE AJIT BOSE,All India Trinamool Congress,75306,606,75912,46.85
5,BIPLAB KUMAR HALDER,Independent,453,1,454,0.28
6,SABYASACHI DUTTA S/O - LATE SHYAMAL DUTTA,Independent,540,5,545,0.34
7,SAMIR SARDAR,Independent,643,4,647,0.4
8,SUJIT BOSE S/O - LATE SAMIR BOSE,Independent,485,11,496,0.31
9,SUSOMA LOHO,Independent,417,4,421,0.26
10,NOTA,None of the Above,2198,15,2213,1.37
