O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ADITI MUNSHI,All India Trinamool Congress,87219,431,87650,49.04
2,SAMIK BHATTACHARYA,Bharatiya Janata Party,62092,262,62354,34.89
3,SUBHAJIT DASGUPTA,Communist Party of India (Marxist),24333,178,24511,13.71
4,JAGANMOY KARMAKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),454,1,455,0.25
5,RINA DEY,Bharatiya Nyay-Adhikar Raksha Party,365,5,370,0.21
6,APURBA MONDAL,Independent,94,1,95,0.05
7,AMITAVA BASU,Independent,90,0,90,0.05
8,INDRANI HALDER,Independent,82,2,84,0.05
9,GOPAL MONDAL,Independent,101,1,102,0.06
10,DR. NITAI CHANDRA ROY,Independent,149,1,150,0.08
11,MD. JAVED,Independent,279,1,280,0.16
12,LALU NEYE,Independent,324,0,324,0.18
13,NOTA,None of the Above,2251,7,2258,1.26
