O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JOYDEV MANNA,Bharatiya Janata Party,63238,217,63455,29.97
2,RAFIQUR RAHAMAN,All India Trinamool Congress,88689,246,88935,42.0
3,SHAFIQUE ALI,Bahujan Samaj Party,1036,2,1038,0.49
4,GOUTAM BISWAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),567,4,571,0.27
5,JAMAL UDDIN,Rashtriya Secular Majlis Party,50797,108,50905,24.04
6,SAHAJAN ALI,United Socialist Party,968,0,968,0.46
7,HARI PADA BISWAS,Lok Jan Shakti Party,518,0,518,0.24
8,MAFID MONDAL,Independent,1289,1,1290,0.61
9,RANJIT SANTRA,Independent,1738,0,1738,0.82
10,NOTA,None of the Above,2314,10,2324,1.1
