O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Payel Sarkar,Bharatiya Janata Party,73137,403,73540,33.15
2,Ratna Chatterjee,All India Trinamool Congress,110294,674,110968,50.01
3,Rina Roy,Bahujan Samaj Party,1158,17,1175,0.53
4,Samita Har Chowdhury,Communist Party of India (Marxist),29945,227,30172,13.6
5,Ashis Kumar Danda,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),658,5,663,0.3
6,Dr. Arun Kumar Giri,Independent,269,2,271,0.12
7,Bholanath Patra,Independent,262,3,265,0.12
8,Dhiman Debnath,Independent,142,1,143,0.06
9,Nikhilesh Ghosh,Independent,270,0,270,0.12
10,Subrata Roy,Independent,398,5,403,0.18
11,Tulsi Rani Pramanik,Independent,1163,4,1167,0.53
12,NOTA,None of the Above,2729,106,2835,1.28
