O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GOLAM ALI SEKH,Bahujan Samaj Party,1086,2,1088,0.48
2,DIPAK KUMAR HALDER,Bharatiya Janata Party,81098,384,81482,36.15
3,PANNALAL HALDER,All India Trinamool Congress,98032,446,98478,43.69
4,PRATIK UR RAHAMAN,Communist Party of India (Marxist),38612,107,38719,17.18
5,MONARAMA HALDER,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),469,0,469,0.21
6,SACHINDRA NATH HALDER,Republican Party of India (A),174,0,174,0.08
7,KISHOR KUMAR MONDAL,Independent,164,1,165,0.07
8,BISWAJIT SARDAR,Independent,234,0,234,0.1
9,LATAB UDDIN MOLLA,Independent,750,4,754,0.33
10,SAFIULLA KHAN,Independent,1585,0,1585,0.7
11,SWAPAN MONDAL,Independent,800,0,800,0.35
12,NOTA,None of the Above,1446,3,1449,0.64
