O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,98790,548,99338,49.98
2,GOBINDA CHANDRA ROY,All India Forward Bloc,6758,95,6853,3.45
3,JYOTISH ROY,Bahujan Samaj Party,1019,6,1025,0.52
4,DADHIRAM RAY,Bharatiya Janata Party,83991,662,84653,42.59
5,KUKIL ADHIKARY,Kamatapur People’s Party (United),789,5,794,0.4
6,CHINU ROY BARMAN,Amra Bangalee,396,4,400,0.2
7,RANJIT KUMAR ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1761,7,1768,0.89
8,GOLAPI ROY,Independent,508,3,511,0.26
9,SUBHASH BARMAN,Independent,953,2,955,0.48
10,NOTA,None of the Above,2442,5,2447,1.23
