O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHIRANJEET CHAKRABARTI,All India Trinamool Congress,103956,475,104431,46.27
2,SANKAR CHATTERJEE,Bharatiya Janata Party,80189,459,80648,35.73
3,SANJIB CHATTOPADHYAY,All India Forward Bloc,33933,238,34171,15.14
4,SUNIL CHANDRA ROY,Bahujan Samaj Party,934,6,940,0.42
5,KSHAMA DEBNATH (PANDA),SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),415,3,418,0.19
6,MOHAN LAL ADHIKARI,Amra Bangalee,568,8,576,0.26
7,SUDARSHAN DAS,Jan Sangh Party,490,6,496,0.22
8,AMIT KUMAR CHAKRABORTY,Independent,565,7,572,0.25
9,TARUN DHAR,Independent,765,2,767,0.34
10,NOTA,None of the Above,2678,10,2688,1.19
