O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PARTHA PRATIM BANERJEE,Indian National Congress,24736,260,24996,12.08
2,Manas Sardar,Bahujan Samaj Party,1032,2,1034,0.5
3,Sujoy Banerjee,All India Trinamool Congress,82134,581,82715,39.98
4,Sudip Kumar Mukherjee,Bharatiya Janata Party,88899,834,89733,43.38
5,Rani Mahato,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1196,13,1209,0.58
6,Harendra Nath Mahato,Amra Bangalee,385,4,389,0.19
7,Abhijit Bhattacharya,Independent,424,0,424,0.2
8,Aditya Mahato,Independent,1298,6,1304,0.63
9,Birendranath Mahato,Independent,1916,2,1918,0.93
10,MRITUNJOY PANDEY,Independent,554,4,558,0.27
11,NOTA,None of the Above,2565,23,2588,1.25
