O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KRISHNENDU NARAYAN CHOUDHURY,All India Trinamool Congress,86163,1493,87656,40.64
2,KOUSHIK MISRA(SAHEB),Communist Party of India (Marxist),10377,576,10953,5.08
3,SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),Bharatiya Janata Party,105422,2333,107755,49.96
4,SURESH CHANDRA SARKAR,Bahujan Samaj Party,1024,15,1039,0.48
5,UMA DAS (PAUL),Janata Dal (United),273,2,275,0.13
6,GAUTAM SARKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),266,1,267,0.12
7,FIROZ AKHTAR,Bahujan Mukti Party,197,4,201,0.09
8,ADITYA PRAKASH DASGUPTA,Independent,358,2,360,0.17
9,NARESH PAL,Independent,1125,4,1129,0.52
10,MD. ANISUR RAHAMAN,Independent,1786,1,1787,0.83
11,SATISH RAJBANSHI,Independent,1056,1,1057,0.49
12,NOTA,None of the Above,3168,28,3196,1.48
