O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DIPSITA DHAR,Communist Party of India (Marxist),21924,116,22040,17.51
2,BAISHALI DALMIYA,Bharatiya Janata Party,46992,118,47110,37.43
3,RANA CHATTERJEE,All India Trinamool Congress,53223,124,53347,42.38
4,PUTUL CHOWDHURY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),442,0,442,0.35
5,INDRANATH DAS,Independent,98,0,98,0.08
6,UJJWALA BISWAS,Independent,82,0,82,0.07
7,GOUTAM DAS,Independent,93,0,93,0.07
8,JITENDRA PRASAD,Independent,292,0,292,0.23
9,MAYA SAMANTA,Independent,171,1,172,0.14
10,RAJKUMAR DHANUK,Independent,586,1,587,0.47
11,SURYA KANTA GHOSH,Independent,404,0,404,0.32
12,NOTA,None of the Above,1203,2,1205,0.96
