O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ashoke Dinda,Bharatiya Janata Party,107054,1055,108109,48.17
2,Kamal Bag,Bahujan Samaj Party,761,5,766,0.34
3,Manik Bhaumik,Indian National Congress,5030,78,5108,2.28
4,Sangram Kumar Dolai,All India Trinamool Congress,106027,822,106849,47.61
5,Subrata Bag,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1658,16,1674,0.75
6,Biplab Barai,Independent,232,0,232,0.1
7,Mahammad Ali Sk,Independent,360,1,361,0.16
8,NOTA,None of the Above,1324,11,1335,0.59
