O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AGARWAL KANAIA LAL,All India Trinamool Congress,58007,1020,59027,36.58
2,KRISHNA KALYANI,Bharatiya Janata Party,78308,1467,79775,49.44
3,MOHIT SENGUPTA,Indian National Congress,16524,674,17198,10.66
4,GOUTAM BISWAS,Amra Bangalee,204,4,208,0.13
5,BAHAMONI HANSDA,Bahujan Mukti Party,128,5,133,0.08
6,BHABATOSH LAHIRI,Janata Dal (United),73,0,73,0.05
7,SANATAN MAJUMDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),133,0,133,0.08
8,JYOTI BARMAN,Independent,98,1,99,0.06
9,DIPENDU SARKAR,Independent,208,3,211,0.13
10,MANJU DAS (MANDAL),Independent,194,2,196,0.12
11,MINAKSHI ROY,Independent,462,3,465,0.29
12,RAJU PAUL,Independent,1361,0,1361,0.84
13,NOTA,None of the Above,2459,9,2468,1.53
