O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ALAKESH DAS,Communist Party of India (Marxist),24635,165,24800,11.76
2,ASIM KUMAR SARKAR,Bharatiya Janata Party,96970,696,97666,46.31
3,NILIMA NAG (MALLICK),All India Trinamool Congress,81686,780,82466,39.11
4,SAMIR BISWAS,Bahujan Samaj Party,1153,0,1153,0.55
5,Biplab Chandra Das,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),403,1,404,0.19
6,MADHAB BISWAS,Party for Democratic Socialism,376,0,376,0.18
7,HARISH CHANDRA BISWAS,Purvanchal Mahapanchayat,444,2,446,0.21
8,NAYAN HALDER,Independent,1154,2,1156,0.55
9,SHIBU DAS,Independent,980,0,980,0.46
10,NOTA,None of the Above,1420,7,1427,0.68
