O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BANDYOPADHYAY NAYNA,All India Trinamool Congress,69702,399,70101,62.87
2,DEVDUTTA MAJI,Bharatiya Janata Party,24644,113,24757,22.2
3,SANTOSH KUMAR PATHAK,Indian National Congress,14184,82,14266,12.8
4,SWAMINATH KORI,Bahujan Samaj Party,263,1,264,0.24
5,AJAY KUMAR GUPTA,Bharatiya Momin Front,74,1,75,0.07
6,ANIL KUMAR SINGH,Janata Dal (United),79,2,81,0.07
7,MANIKA PAUL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),201,3,204,0.18
8,ASHISH AGARWAL,Independent,88,4,92,0.08
9,ISHRAT KHAN,Independent,109,0,109,0.1
10,SAYANTAN PATRA,Independent,162,1,163,0.15
11,SUMANTA BHOWMICK,Independent,169,0,169,0.15
12,NOTA,None of the Above,1207,5,1212,1.09
