O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,APURBA PRAMANIK (APU),Communist Party of India (Marxist),17308,60,17368,8.58
2,BISWANATH DAS,All India Trinamool Congress,104527,425,104952,51.85
3,RABIN SARDAR,Bharatiya Janata Party,65943,326,66269,32.74
4,SANKAR DEB MONDAL,Bahujan Samaj Party,809,2,811,0.4
5,AMITAV NASKAR,Republican Party of India (A),186,1,187,0.09
6,UTPAL MANDAL,Lok Jan Shakti Party,245,3,248,0.12
7,TARUN KANTI NASKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),9354,69,9423,4.65
8,MONOTOSH NASKAR,Bahujan Mukti Party,571,3,574,0.28
9,SWAPAN KUMAR NASKAR,Independent,1433,2,1435,0.71
10,NOTA,None of the Above,1162,2,1164,0.58
