O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DEBA PRASAD ROY,Indian National Congress,15203,448,15651,7.03
2,SUMAN KANJILAL,Bharatiya Janata Party,105517,1816,107333,48.19
3,SOURAV CHAKRABORTY (GHUTIS),All India Trinamool Congress,90183,1143,91326,41.0
4,PIJUSH KANTI SARMA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1090,21,1111,0.5
5,ABINASH DAS,Independent,267,3,270,0.12
6,ASHIM ROY,Independent,677,19,696,0.31
7,KUSHAL KUMAR ROY,Independent,613,7,620,0.28
8,NIKHIL CHANDRA RAIBIR,Independent,2333,18,2351,1.06
9,RINKU GHOSH,Independent,1384,9,1393,0.63
10,NOTA,None of the Above,1950,31,1981,0.89
