O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,UMESH RAI,Bharatiya Janata Party,65936,117,66053,44.12
2,GAUTAM CHOWDHURI,All India Trinamool Congress,71408,167,71575,47.81
3,PAWAN KUMAR SINGH,Communist Party of India (Marxist),8091,42,8133,5.43
4,ASHOK KUMAR SHARMA,Hindustani Awam Morcha (Secular),250,1,251,0.17
5,GANESHLAL GUPTA,National Republic Party Of India,98,0,98,0.07
6,RAJ KUMAR PASWAN,Bharatiya Momin Front,91,0,91,0.06
7,DHARMENDRA RAI,Independent,103,1,104,0.07
8,VIJAY SHAH,Independent,162,0,162,0.11
9,VINIT KUMAR RAI,Independent,97,0,97,0.06
10,SISIR SAMANTA,Independent,104,2,106,0.07
11,SHYAM PRASAD RAM,Independent,167,0,167,0.11
12,SUNIL SAU,Independent,302,0,302,0.2
13,SUBHASH KUMAR SINGHI,Independent,911,0,911,0.61
14,NOTA,None of the Above,1668,2,1670,1.12
