O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANIRBAN GANGULY,Bharatiya Janata Party,92871,1292,94163,40.89
2,JITEN RAY,Bahujan Samaj Party,1229,10,1239,0.54
3,TAPAN HORE,Revolutionary Socialist Party,9748,217,9965,4.33
4,SINHA CHANDRANATH,All India Trinamool Congress,114842,1601,116443,50.57
5,MIHIR KUMAR BANERJEE,Rashtravadi Janata Party,1168,1,1169,0.51
6,SAMARJIT BARMAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),669,9,678,0.29
7,SIDDHARTHA BANERJEE,Paradise Party,1935,3,1938,0.84
8,SK SIRAJUL HOQUE,Mulnibasi Party of India,623,3,626,0.27
9,SONA MURMU,Bahujan Mukti Party,699,3,702,0.3
10,NOTA,None of the Above,3316,21,3337,1.45
