O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAGHU UROW,Revolutionary Socialist Party,11847,241,12088,6.49
2,KALPANA KISKU,All India Trinamool Congress,81939,792,82731,44.41
3,BABLU KISKU,Bahujan Samaj Party,2142,4,2146,1.15
4,BUDHRAI TUDU,Bharatiya Janata Party,83172,1209,84381,45.29
5,ALBINUS HASDA,Bahujan Mukti Party,1311,4,1315,0.71
6,KALICHARAN EKKA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),816,4,820,0.44
7,NIPESH TIRKI,Kamatapur People’s Party (United),1123,2,1125,0.6
8,NOTA,None of the Above,1675,28,1703,0.91
