O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Akshay Thakur,All India Forward Bloc,9928,318,10246,5.24
2,Avijit De Bhowmik,All India Trinamool Congress,85620,1009,86629,44.31
3,Khokan Majumdar,Bahujan Samaj Party,1415,4,1419,0.73
4,Nikhil Ranjan Dey,Bharatiya Janata Party,89966,1594,91560,46.83
5,Nazma Khandakar,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1124,14,1138,0.58
6,Babla Deb,Amra Bangalee,326,3,329,0.17
7,Anamika Paul,Independent,728,11,739,0.38
8,Bidhan Barma,Independent,493,3,496,0.25
9,Rati Ranjan Paul,Independent,1480,5,1485,0.76
10,NOTA,None of the Above,1436,28,1464,0.75
