O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Debranjan Mahato,All India Forward Bloc,11733,109,11842,5.74
2,Nepal Chandra Mahato,Indian National Congress,50615,431,51046,24.74
3,Sushanta Mahato,All India Trinamool Congress,75245,660,75905,36.79
4,Ashutosh Mahato,AJSU Party,61510,426,61936,30.02
5,Pashupati Mahato,Amra Bangalee,1992,8,2000,0.97
6,Mrityunjoy Singh Babu,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1182,6,1188,0.58
7,NOTA,None of the Above,2375,11,2386,1.16
