O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANJANA BASU,Bharatiya Janata Party,82518,523,83041,35.67
2,ARUNDHUTI MAITRA (LOVELY),All India Trinamool Congress,108408,814,109222,46.92
3,BIMAL KRISHNA MANDAL,Bahujan Samaj Party,1099,11,1110,0.48
4,SHUVAM BANERJEE,Communist Party of India,31467,311,31778,13.65
5,TRAYEE PRADHAN,Right to Recall Party,369,3,372,0.16
6,DIBAKAR HALDER,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),436,5,441,0.19
7,DEBASHIS RAKSHIT,Bahujan Mukti Party,124,2,126,0.05
8,SANJAY ROY,Amra Bangalee,144,2,146,0.06
9,ARUN SARKAR,Independent,194,1,195,0.08
10,UTTAM SAMUL,Independent,315,1,316,0.14
11,DILIP KUMAR ROY,Independent,600,1,601,0.26
12,PROVASH MONDAL,Independent,500,0,500,0.21
13,RANGALAL BARIK,Independent,501,1,502,0.22
14,SHAMPA DAS,Independent,1901,6,1907,0.82
15,NOTA,None of the Above,2541,9,2550,1.1
